"","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","left","promotion_last_5years","Department","salary"
"3333",0.72,0.68,4,238,3,0,0,0,"support","low"
"3337",0.8,0.41,6,185,4,0,0,0,"support","medium"
"3338",0.55,0.55,3,197,3,0,0,0,"support","high"
"3340",0.88,0.98,3,263,3,1,0,0,"technical","high"
"3341",0.86,0.49,4,251,2,0,0,0,"technical","medium"
"3343",0.82,0.58,4,183,3,0,0,0,"management","medium"
"3344",0.66,0.8,4,252,3,0,0,0,"IT","medium"
"3351",0.88,0.8,3,133,3,0,0,0,"product_mng","medium"
"3357",0.6,0.6,3,221,2,0,0,0,"RandD","medium"
"3359",0.91,0.57,4,145,3,0,0,0,"marketing","medium"
"3360",0.78,0.96,4,111,2,0,0,0,"sales","high"
"3369",0.83,0.82,5,273,4,0,0,0,"sales","low"
"3376",0.91,0.85,3,244,3,1,0,0,"sales","medium"
"3378",0.13,0.67,5,234,6,0,0,0,"sales","medium"
"3380",0.82,0.54,4,191,3,0,0,0,"sales","medium"
"3389",1,0.66,4,238,4,0,0,0,"accounting","low"
"3394",0.71,0.53,3,186,2,0,0,0,"technical","low"
"3396",0.34,0.62,3,119,2,0,0,0,"technical","low"
"3397",0.58,0.91,3,223,2,0,0,0,"technical","low"
"3401",0.98,0.6,2,249,3,0,0,0,"technical","low"
"3405",0.74,0.91,2,264,3,0,0,0,"support","low"
"3409",0.56,0.75,4,249,3,0,0,0,"support","low"
"3416",0.63,0.61,3,234,3,1,0,0,"technical","medium"
"3417",0.84,0.97,6,223,2,0,0,0,"technical","medium"
"3420",0.79,0.56,6,205,4,1,0,0,"IT","medium"
"3421",0.59,0.55,4,235,2,0,0,0,"IT","medium"
"3422",0.5,0.53,4,263,3,0,0,0,"IT","medium"
"3434",0.88,0.88,3,214,2,1,0,0,"RandD","low"
"3435",0.62,0.67,2,153,3,0,0,0,"marketing","low"
"3439",0.74,0.7,4,167,3,1,0,0,"technical","low"
"3444",0.72,0.73,5,134,2,0,0,0,"sales","low"
"3445",0.96,0.75,5,176,4,0,0,0,"sales","low"
"3453",0.77,0.8,3,207,3,0,0,0,"sales","low"
"3455",0.89,0.86,3,178,4,0,0,0,"sales","medium"
"3457",0.24,0.87,5,268,5,0,0,0,"sales","medium"
"3460",0.63,0.62,5,212,6,0,0,0,"sales","medium"
"3461",0.63,0.59,3,155,3,1,0,0,"sales","medium"
"3466",0.59,0.83,4,239,4,0,0,0,"hr","high"
"3470",0.9,0.79,4,236,3,1,0,0,"technical","medium"
"3478",0.71,0.75,4,272,4,0,0,0,"technical","low"
"3482",0.66,0.6,3,179,4,0,0,0,"support","low"
"3487",0.85,0.67,4,228,4,0,0,0,"support","low"
"3488",0.14,0.46,2,267,6,1,0,0,"support","low"
"3492",0.83,0.99,4,226,2,0,0,0,"technical","low"
"3498",0.74,0.97,2,135,4,0,0,0,"IT","medium"
"3507",0.21,0.42,4,269,4,1,0,0,"RandD","medium"
"3515",0.52,0.82,3,192,3,0,0,0,"technical","low"
"3516",0.13,0.87,3,185,4,1,0,0,"management","low"
"3518",0.53,0.98,2,163,3,0,0,0,"marketing","low"
"3519",0.15,0.76,5,277,4,0,0,0,"marketing","low"
"3521",0.52,0.44,3,119,2,0,0,0,"sales","low"
"3523",0.74,0.89,3,160,2,0,0,0,"sales","low"
"3529",0.48,0.74,2,157,2,1,0,0,"sales","medium"
"3535",0.59,0.66,3,186,3,0,0,0,"sales","medium"
"3541",0.87,0.62,3,176,3,0,0,0,"accounting","high"
"3542",0.79,0.91,3,226,2,0,0,0,"hr","low"
"3553",0.57,0.99,3,205,3,0,0,0,"technical","low"
"3556",0.72,0.72,5,194,4,0,0,0,"technical","low"
"3557",0.75,0.66,4,202,2,0,0,0,"support","low"
"3561",0.16,0.88,6,218,3,0,0,0,"support","low"
"3580",0.71,0.36,4,278,4,1,0,0,"product_mng","high"
"3581",0.61,0.63,3,250,4,0,0,0,"IT","low"
"3582",0.52,0.89,5,193,4,0,0,0,"RandD","medium"
"3589",0.72,0.76,4,144,3,1,0,0,"accounting","low"
"3597",0.48,0.5,4,173,3,0,0,0,"sales","low"
"3598",0.62,0.42,2,124,2,0,0,0,"sales","low"
"3601",0.68,0.41,3,106,6,0,0,0,"sales","low"
"3605",0.7,0.64,3,180,2,0,0,0,"sales","low"
"3607",0.58,0.62,3,169,2,0,0,0,"sales","medium"
"3613",0.71,0.63,5,224,3,1,0,0,"sales","medium"
"3614",0.6,0.95,3,266,3,0,0,0,"sales","medium"
"3615",0.91,0.68,3,218,3,1,0,0,"accounting","medium"
"3616",0.75,1,3,102,3,0,0,0,"accounting","medium"
"3619",0.73,0.83,4,270,2,0,0,0,"hr","high"
"3625",0.65,0.66,5,239,4,0,0,0,"technical","low"
"3626",0.59,0.9,3,245,3,1,0,0,"technical","low"
"3628",0.18,0.7,5,182,4,0,0,0,"technical","low"
"3629",0.21,0.93,4,243,4,0,0,0,"technical","low"
"3630",0.15,0.67,6,209,5,0,0,0,"technical","low"
"3632",0.39,0.48,3,190,2,0,0,0,"technical","low"
"3633",0.35,0.66,2,140,2,0,0,0,"support","medium"
"3645",0.73,0.96,2,151,3,0,0,0,"technical","medium"
"3650",0.64,0.72,5,158,3,0,0,0,"IT","medium"
"3655",0.69,0.53,4,281,4,0,0,0,"product_mng","medium"
"3658",0.78,0.91,3,238,2,0,0,0,"RandD","high"
"3664",0.24,0.7,5,172,4,0,0,0,"sales","high"
"3666",0.91,0.53,3,147,4,1,0,0,"support","high"
"3669",0.64,0.64,3,263,3,0,0,0,"marketing","high"
"3676",0.64,0.67,3,165,3,0,0,0,"sales","low"
"3681",0.97,0.75,2,271,6,0,0,0,"sales","low"
"3685",0.76,0.56,4,214,2,1,0,0,"sales","medium"
"3688",0.85,0.79,3,156,3,0,0,0,"sales","medium"
"3691",0.77,0.76,3,201,4,0,0,0,"accounting","medium"
"3693",0.97,0.5,3,173,2,0,0,0,"accounting","medium"
"3694",0.59,0.61,4,141,2,1,0,0,"hr","medium"
"3695",0.93,0.62,3,231,6,0,0,0,"hr","medium"
"3696",0.85,0.54,4,174,2,0,0,0,"hr","medium"
"3697",0.7,0.57,4,211,3,0,0,0,"hr","high"
"3700",0.96,0.75,4,165,3,0,0,0,"technical","high"
"3702",0.61,0.59,3,237,2,0,0,0,"technical","high"
"3706",0.7,0.91,4,181,2,1,0,0,"technical","low"
"3707",0.65,0.55,4,250,2,0,0,0,"technical","low"
"3709",0.75,0.73,3,225,4,0,0,0,"support","low"
"3710",0.69,0.78,5,267,2,1,0,0,"support","low"
"3711",0.34,0.46,2,169,2,1,0,0,"support","low"
"3713",0.94,0.95,4,155,3,0,0,0,"support","medium"
"3715",0.72,0.66,3,160,3,0,0,0,"support","medium"
"3719",0.82,0.58,4,136,3,0,0,0,"support","medium"
"3722",0.91,0.65,5,174,2,0,0,0,"technical","medium"
"3723",0.72,0.91,3,239,2,0,0,0,"management","medium"
"3727",0.63,0.85,3,232,4,0,0,0,"IT","medium"
"3731",0.79,0.78,3,101,2,1,0,0,"product_mng","medium"
"3732",0.95,0.49,4,229,3,0,0,0,"product_mng","medium"
"3733",0.29,0.43,3,162,4,0,0,0,"IT","medium"
"3735",0.21,0.56,6,277,5,0,0,0,"RandD","medium"
"3742",0.66,0.4,2,155,5,1,0,0,"support","medium"
"3744",0.69,0.94,4,235,3,0,0,0,"management","medium"
"3746",0.52,0.56,4,225,2,0,0,0,"marketing","medium"
"3749",0.8,0.58,5,127,3,0,0,0,"sales","low"
"3753",0.54,0.48,3,152,2,0,0,0,"sales","low"
"3755",0.19,0.99,3,154,2,0,0,0,"sales","high"
"3756",0.95,0.71,3,223,2,0,0,0,"sales","low"
"3757",0.96,0.81,4,211,3,0,0,0,"sales","high"
"3758",0.63,0.89,4,192,2,0,0,0,"sales","high"
"3759",0.81,0.8,4,227,2,1,0,0,"sales","low"
"3765",0.8,0.68,4,157,3,0,0,0,"sales","medium"
"3767",0.44,0.74,5,253,2,0,0,0,"accounting","medium"
"3771",0.66,0.69,4,198,3,1,0,0,"hr","medium"
"3773",0.6,0.81,2,214,3,0,0,0,"hr","high"
"3777",0.53,0.68,4,214,3,0,0,0,"technical","medium"
"3778",0.9,0.94,4,231,3,0,0,0,"technical","medium"
"3782",0.63,0.79,4,228,4,0,0,0,"technical","low"
"3786",0.79,0.97,5,187,3,0,0,0,"support","low"
"3787",0.37,0.71,3,117,3,0,0,0,"support","low"
"3788",0.85,0.9,3,184,3,1,0,0,"support","low"
"3789",0.76,0.56,3,216,3,0,0,0,"support","low"
"3790",0.99,0.62,4,140,2,1,0,0,"support","low"
"3793",0.68,1,5,203,2,0,0,0,"support","low"
"3797",0.48,0.65,3,199,2,0,0,0,"technical","low"
"3800",0.8,0.67,3,164,3,0,0,0,"IT","high"
"3803",0.95,0.87,3,208,2,0,0,0,"IT","high"
"3804",0.69,0.93,3,233,3,0,0,0,"IT","medium"
"3806",0.68,0.59,3,141,3,0,0,0,"product_mng","medium"
"3808",0.65,0.37,5,128,3,1,0,0,"product_mng","medium"
"3810",0.49,0.48,4,247,3,0,0,0,"RandD","medium"
"3812",0.95,0.61,3,164,3,0,0,0,"RandD","medium"
"3816",0.74,0.98,5,200,3,0,0,0,"sales","medium"
"3817",0.7,0.87,5,177,2,0,0,0,"accounting","medium"
"3820",0.62,0.63,3,230,2,0,0,0,"management","medium"
"3824",0.37,0.88,4,155,3,0,0,0,"sales","medium"
"3826",0.9,0.51,4,214,2,0,0,0,"sales","low"
"3843",0.44,0.81,3,248,2,0,0,0,"accounting","medium"
"3846",0.64,0.9,4,211,3,0,0,0,"hr","medium"
"3848",0.96,0.61,3,271,2,0,0,0,"hr","medium"
"3852",0.26,0.9,4,266,5,0,0,0,"technical","medium"
"3853",0.84,0.73,3,146,5,1,0,0,"technical","high"
"3857",0.62,0.69,4,165,4,1,0,0,"technical","medium"
"3860",0.53,0.5,6,264,6,0,0,0,"technical","low"
"3864",0.57,0.96,4,264,2,0,0,0,"support","low"
"3873",0.83,0.48,3,242,4,0,0,0,"technical","low"
"3874",0.22,0.64,3,193,2,0,0,0,"technical","low"
"3879",0.23,0.84,5,140,4,0,0,0,"IT","low"
"3884",0.49,0.61,3,181,3,0,0,0,"product_mng","medium"
"3885",0.55,0.49,3,191,3,0,0,0,"IT","medium"
"3886",0.92,0.69,4,149,6,1,0,0,"RandD","medium"
"3890",0.76,0.52,3,248,3,0,0,0,"RandD","medium"
"3891",0.42,0.56,2,103,3,1,0,0,"marketing","medium"
"3892",0.58,0.65,4,248,4,0,0,0,"marketing","high"
"3895",0.58,1,4,258,3,0,0,0,"support","medium"
"3896",0.84,0.76,5,172,5,1,0,0,"technical","medium"
"3901",0.85,0.55,3,137,3,1,0,0,"sales","low"
"3922",0.26,0.45,2,157,3,0,0,0,"accounting","medium"
"3924",0.98,0.66,3,154,2,0,0,0,"hr","medium"
"3925",0.86,0.83,5,208,2,1,0,0,"hr","medium"
"3927",0.58,0.63,4,159,3,0,0,0,"technical","medium"
"3928",0.63,0.97,4,234,2,0,0,0,"technical","medium"
"3929",0.7,0.91,5,139,3,1,0,0,"technical","medium"
"3930",0.73,0.62,4,210,4,0,0,0,"technical","medium"
"3932",0.17,0.61,3,241,5,1,0,0,"technical","low"
"3939",0.67,0.94,4,141,2,1,0,0,"support","low"
"3953",0.69,0.81,3,214,2,0,0,0,"IT","low"
"3956",0.87,0.6,2,122,2,0,0,0,"IT","low"
"3958",0.54,0.91,3,151,3,0,0,0,"product_mng","medium"
"3961",0.5,0.55,3,188,2,0,0,0,"product_mng","medium"
"3968",0.18,0.79,4,217,4,0,0,0,"RandD","medium"
"3975",0.99,0.61,3,254,3,0,0,0,"marketing","medium"
"3976",0.22,0.49,4,218,4,0,0,0,"marketing","low"
"3979",0.78,0.95,4,184,3,0,0,0,"sales","low"
"3980",0.15,0.74,2,176,3,1,0,0,"sales","low"
"3982",0.7,0.78,4,254,4,0,0,0,"sales","low"
"3984",0.59,0.57,5,257,2,0,0,0,"sales","low"
"3987",0.42,0.75,3,163,2,1,0,0,"sales","low"
"3989",0.72,0.51,3,146,2,1,0,0,"sales","low"
"3990",0.83,0.81,3,242,6,0,0,0,"sales","low"
"3991",0.89,0.93,4,249,3,0,0,0,"sales","low"
"3995",0.63,0.98,4,160,2,0,0,0,"sales","medium"
"3996",0.63,0.4,6,177,2,1,0,0,"sales","medium"
"3997",0.61,0.97,4,153,3,0,0,0,"accounting","medium"
"4003",0.34,0.85,4,123,4,0,0,0,"hr","medium"
"4007",0.56,0.98,3,220,3,0,0,0,"technical","low"
"4009",0.69,0.99,3,198,2,0,0,0,"technical","medium"
"4012",0.8,0.79,3,217,3,0,0,0,"technical","low"
"4014",0.66,0.92,4,229,2,0,0,0,"technical","low"
"4015",0.81,0.78,4,159,3,0,0,0,"support","low"
"4017",0.92,0.85,3,235,2,0,0,0,"support","low"
"4022",1,0.49,3,106,4,0,0,0,"support","low"
"4030",0.61,0.82,3,261,4,0,0,0,"IT","low"
"4031",0.64,0.51,4,207,2,0,0,0,"IT","low"
"4035",0.26,0.81,5,139,4,0,0,0,"product_mng","medium"
"4039",0.79,0.73,5,155,3,0,0,0,"IT","medium"
"4042",0.29,0.77,3,164,6,0,0,0,"RandD","medium"
"4043",0.71,0.89,3,244,4,0,0,0,"RandD","medium"
"4044",0.93,0.58,4,222,2,0,0,0,"RandD","medium"
"4048",0.67,0.81,3,221,4,1,0,0,"accounting","medium"
"4049",0.54,0.42,3,138,3,1,0,0,"support","medium"
"4051",0.94,0.91,3,250,3,1,0,0,"management","low"
"4052",0.15,0.89,3,219,6,0,0,0,"marketing","low"
"4059",0.84,0.36,6,256,5,0,0,0,"sales","low"
"4061",0.63,0.88,3,177,3,0,0,0,"sales","low"
"4065",0.61,0.64,4,201,3,0,0,0,"sales","low"
"4066",0.83,0.55,5,247,3,0,0,0,"sales","low"
"4067",0.94,0.51,5,238,2,0,0,0,"sales","low"
"4069",0.6,0.49,2,194,4,0,0,0,"sales","low"
"4070",0.83,0.69,4,232,2,0,0,0,"sales","low"
"4072",0.79,0.97,4,204,3,0,0,0,"sales","medium"
"4074",0.5,0.56,3,164,3,0,0,0,"accounting","medium"
"4077",0.8,0.8,4,252,6,0,0,0,"hr","medium"
"4080",0.64,0.75,3,214,3,0,0,0,"hr","medium"
"4084",0.96,0.83,4,132,6,0,0,0,"technical","high"
"4088",0.62,0.75,3,149,2,1,0,0,"technical","medium"
"4090",0.53,0.83,4,249,3,1,0,0,"technical","low"
"4094",0.69,0.74,4,266,2,1,0,0,"support","low"
"4101",0.66,0.73,3,244,3,0,0,0,"support","medium"
"4102",1,0.93,5,182,3,1,0,0,"support","medium"
"4103",0.15,0.61,3,146,6,1,0,0,"technical","medium"
"4107",0.84,0.85,4,185,3,1,0,0,"IT","medium"
"4108",0.55,0.8,3,254,2,0,0,0,"IT","medium"
"4113",0.88,0.98,3,160,2,0,0,0,"product_mng","medium"
"4120",0.66,0.62,4,250,2,0,0,0,"RandD","medium"
"4122",0.19,0.5,5,126,3,1,0,0,"RandD","medium"
"4124",0.65,0.57,3,137,4,1,0,0,"sales","high"
"4128",0.74,1,4,199,4,0,0,0,"management","high"
"4129",0.47,0.62,6,171,5,1,0,0,"marketing","high"
"4131",0.81,0.58,3,243,4,0,0,0,"marketing","high"
"4135",1,0.97,3,216,3,1,0,0,"sales","low"
"4144",1,1,5,142,4,0,0,0,"sales","low"
"4145",0.81,0.96,4,212,3,0,0,0,"sales","low"
"4146",0.54,0.67,2,129,3,1,0,0,"sales","low"
"4148",0.82,0.88,4,149,2,0,0,0,"sales","low"
"4155",0.98,0.66,3,150,3,0,0,0,"hr","medium"
"4157",0.74,0.67,5,140,3,0,0,0,"hr","medium"
"4159",0.73,0.71,5,215,6,1,0,0,"technical","medium"
"4160",0.9,0.62,4,258,3,0,0,0,"technical","medium"
"4165",0.87,0.89,4,219,4,0,0,0,"technical","high"
"4167",0.7,0.74,3,157,3,0,0,0,"technical","high"
"4171",0.92,0.46,5,195,5,0,0,0,"support","low"
"4176",0.84,0.76,5,215,2,1,0,0,"support","low"
"4181",0.7,0.85,3,188,2,0,0,0,"technical","medium"
"4183",0.74,0.91,5,135,3,0,0,0,"management","medium"
"4184",0.54,0.59,4,228,3,0,0,0,"IT","medium"
"4193",0.37,0.48,2,285,5,0,0,0,"IT","medium"
"4198",0.67,0.66,6,152,3,0,0,0,"RandD","medium"
"4203",0.13,0.65,4,194,4,0,0,0,"support","medium"
"4204",0.57,0.68,3,102,6,0,0,0,"technical","medium"
"4206",0.99,0.69,3,206,2,0,0,0,"marketing","medium"
"4207",0.8,0.77,3,171,2,0,0,0,"marketing","medium"
"4211",0.87,0.53,6,216,6,1,0,0,"sales","medium"
"4212",0.61,0.9,5,113,3,0,0,0,"sales","medium"
"4215",0.86,0.48,4,153,3,0,0,0,"sales","low"
"4217",0.25,0.82,3,269,5,0,0,0,"sales","low"
"4218",0.63,0.55,3,160,3,0,0,0,"sales","low"
"4221",0.87,0.78,3,170,2,0,0,0,"sales","low"
"4228",0.67,0.67,3,183,3,0,0,0,"accounting","medium"
"4236",0.85,0.51,3,153,4,0,0,0,"technical","medium"
"4240",0.98,0.5,4,264,3,0,0,0,"technical","high"
"4243",0.73,0.91,3,238,2,0,0,0,"technical","medium"
"4244",0.74,0.64,4,147,5,0,0,0,"technical","medium"
"4246",0.91,0.97,4,183,3,0,0,0,"support","low"
"4247",0.74,0.92,5,255,3,0,0,0,"support","low"
"4251",0.65,0.98,3,136,3,0,0,0,"support","low"
"4253",0.14,0.66,6,142,5,0,0,0,"support","low"
"4256",0.76,0.95,2,156,4,0,0,0,"support","high"
"4257",0.78,0.66,4,214,2,0,0,0,"technical","low"
"4259",0.78,0.8,4,197,3,1,0,0,"technical","low"
"4261",0.68,0.61,5,271,2,0,0,0,"IT","high"
"4262",0.91,0.68,4,187,2,0,0,0,"IT","low"
"4273",0.54,0.81,5,261,6,0,0,0,"RandD","medium"
"4275",0.59,0.79,4,181,3,0,0,0,"RandD","medium"
"4281",0.82,0.92,5,252,3,0,0,0,"management","medium"
"4282",0.55,0.97,4,136,3,0,0,0,"marketing","medium"
"4286",0.83,0.77,3,232,2,1,0,0,"sales","medium"
"4290",0.8,0.41,3,188,4,0,0,0,"sales","high"
"4299",0.91,0.71,2,159,3,1,0,0,"sales","low"
"4301",0.69,0.97,5,105,4,0,0,0,"sales","low"
"4308",0.61,0.98,3,138,5,1,0,0,"hr","medium"
"4311",0.6,0.78,4,152,3,1,0,0,"technical","medium"
"4312",0.62,0.51,3,222,3,1,0,0,"technical","medium"
"4316",0.59,0.93,4,146,3,0,0,0,"technical","medium"
"4328",0.66,0.84,4,168,2,0,0,0,"support","low"
"4329",0.89,0.79,4,212,3,0,0,0,"support","low"
"4333",0.98,0.76,4,221,3,1,0,0,"technical","low"
"4340",0.73,0.85,5,224,4,0,0,0,"IT","low"
"4341",0.2,0.57,4,269,5,1,0,0,"IT","low"
"4343",0.56,0.62,4,247,3,0,0,0,"product_mng","low"
"4348",0.14,0.51,4,253,6,0,0,0,"RandD","medium"
"4354",0.72,0.74,3,187,2,0,0,0,"sales","medium"
"4355",0.84,0.58,3,140,3,0,0,0,"accounting","medium"
"4356",0.76,0.99,3,164,2,0,0,0,"support","medium"
"4358",0.58,0.93,5,235,2,0,0,0,"management","low"
"4360",0.74,0.51,4,246,3,1,0,0,"marketing","medium"
"4365",0.82,0.49,5,185,3,0,0,0,"sales","low"
"4367",0.39,0.64,3,152,2,0,0,0,"sales","low"
"4373",0.52,0.71,2,231,2,0,0,0,"sales","low"
"4378",0.75,0.53,3,222,2,0,0,0,"sales","low"
"4379",0.85,0.55,2,207,6,0,0,0,"sales","low"
"4384",0.19,0.68,5,149,3,0,0,0,"hr","medium"
"4389",0.81,0.96,4,143,3,1,0,0,"technical","medium"
"4393",0.49,0.55,2,173,3,0,0,0,"technical","medium"
"4394",0.94,0.47,5,131,6,0,0,0,"technical","medium"
"4395",0.81,0.84,4,143,2,0,0,0,"technical","medium"
"4396",0.92,0.78,5,193,4,0,0,0,"technical","high"
"4398",0.98,0.61,4,265,2,1,0,0,"technical","medium"
"4400",0.72,0.87,4,184,4,0,0,0,"support","medium"
"4408",0.73,0.52,4,215,3,0,0,0,"support","low"
"4414",0.6,0.65,4,160,2,0,0,0,"IT","low"
"4415",0.62,0.71,3,177,3,1,0,0,"IT","low"
"4417",0.4,0.48,4,97,2,0,0,0,"IT","low"
"4421",0.77,0.78,4,212,3,0,0,0,"product_mng","low"
"4427",0.88,0.66,4,133,2,0,0,0,"RandD","medium"
"4430",0.76,0.57,5,139,4,0,0,0,"sales","medium"
"4435",0.66,0.68,4,152,3,0,0,0,"marketing","high"
"4441",0.36,0.65,3,116,2,1,0,0,"sales","low"
"4450",0.75,0.86,6,148,4,0,0,0,"sales","low"
"4461",0.23,0.37,3,247,4,0,0,0,"hr","medium"
"4468",0.89,0.78,3,185,2,1,0,0,"technical","medium"
"4471",0.52,0.72,2,160,2,0,0,0,"technical","high"
"4475",0.98,0.54,5,260,3,0,0,0,"support","medium"
"4479",0.79,0.86,3,139,3,0,0,0,"support","low"
"4492",0.18,0.99,4,204,6,0,0,0,"IT","low"
"4493",0.86,0.68,4,170,2,0,0,0,"IT","low"
"4498",0.43,0.41,4,190,3,0,0,0,"product_mng","medium"
"4500",0.94,0.8,5,111,4,0,0,1,"RandD","medium"
"4501",0.58,0.71,4,145,3,1,0,1,"RandD","medium"
"4505",0.35,0.67,3,119,3,0,0,1,"marketing","medium"
"4506",0.77,0.79,3,157,3,0,0,1,"sales","medium"
"4508",0.5,0.6,4,200,2,0,0,1,"support","medium"
"4512",0.49,0.52,4,183,2,0,0,1,"marketing","medium"
"4521",0.7,0.44,2,131,2,0,0,0,"sales","low"
"4523",0.9,0.56,3,220,3,0,0,0,"sales","low"
"4525",0.78,0.59,4,180,3,0,0,0,"sales","low"
"4526",0.91,0.49,6,272,6,0,0,0,"sales","low"
"4529",0.8,0.77,4,205,2,0,0,0,"sales","low"
"4530",0.52,0.67,3,244,3,0,0,0,"sales","low"
"4531",0.52,0.97,3,185,2,0,0,0,"sales","low"
"4534",0.83,0.61,4,262,4,0,0,0,"accounting","low"
"4536",0.89,0.74,4,174,2,0,0,0,"hr","low"
"4537",0.21,0.37,6,266,3,0,0,1,"hr","medium"
"4539",0.73,0.97,3,245,2,0,0,1,"hr","medium"
"4540",0.85,0.51,3,261,4,0,0,1,"technical","medium"
"4541",0.54,0.85,4,157,3,0,0,1,"technical","medium"
"4547",0.71,0.79,4,133,3,0,0,1,"technical","medium"
"4548",0.79,0.65,5,228,3,0,0,1,"technical","medium"
"4553",0.51,0.91,4,269,5,0,0,1,"support","medium"
"4555",0.92,0.82,4,168,3,0,0,1,"support","low"
"4556",1,0.59,3,168,3,0,0,1,"support","low"
"4562",0.99,0.58,4,138,3,0,0,0,"technical","low"
"4563",0.57,0.76,3,195,3,0,0,0,"technical","medium"
"4571",0.66,0.9,3,217,4,0,0,0,"product_mng","medium"
"4573",0.67,0.99,5,237,3,0,0,0,"product_mng","medium"
"4575",0.7,0.98,4,194,2,0,0,0,"IT","medium"
"4577",0.97,0.6,5,133,2,0,0,0,"RandD","medium"
"4583",0.91,0.51,2,211,2,0,0,0,"accounting","medium"
"4585",0.83,0.53,5,182,2,1,0,0,"technical","medium"
"4587",0.77,0.97,3,184,3,1,0,0,"marketing","medium"
"4588",0.49,0.71,2,117,3,0,0,0,"marketing","high"
"4591",0.69,0.84,3,227,3,1,0,0,"sales","high"
"4592",0.88,0.59,5,147,4,0,0,0,"sales","high"
"4594",0.8,0.58,4,238,2,0,0,0,"sales","high"
"4595",0.22,0.89,4,262,4,0,0,0,"sales","high"
"4600",0.49,0.56,4,260,6,0,0,0,"sales","low"
"4605",0.93,0.68,3,272,2,1,0,0,"sales","low"
"4607",0.82,0.68,3,140,2,0,0,0,"sales","low"
"4609",0.88,0.84,3,266,3,0,0,0,"accounting","low"
"4612",0.92,0.51,5,214,3,0,0,0,"hr","low"
"4613",0.48,0.6,2,121,5,0,0,0,"hr","low"
"4616",0.97,0.78,4,261,2,0,0,0,"technical","medium"
"4622",0.34,0.41,2,141,3,0,0,0,"technical","medium"
"4623",0.97,0.68,3,185,2,0,0,0,"technical","medium"
"4624",0.39,0.99,6,235,6,0,0,0,"technical","medium"
"4627",0.49,0.79,4,158,3,0,0,0,"support","high"
"4628",0.17,0.83,6,195,5,0,0,0,"support","high"
"4631",0.24,0.89,5,228,4,1,0,0,"support","high"
"4633",0.36,0.72,3,179,3,0,0,0,"support","high"
"4634",0.19,0.76,2,158,3,0,0,0,"support","high"
"4646",0.85,0.58,4,273,4,0,0,0,"IT","medium"
"4647",0.8,0.94,4,141,3,1,0,0,"product_mng","medium"
"4651",0.82,0.69,5,219,3,0,0,0,"IT","medium"
"4655",0.75,0.78,4,158,5,1,0,0,"RandD","medium"
"4659",0.68,0.67,4,135,2,0,0,0,"accounting","medium"
"4663",0.66,0.57,3,169,4,1,0,0,"marketing","medium"
"4676",0.65,0.48,3,131,3,1,0,0,"sales","medium"
"4677",0.97,0.79,2,272,2,0,0,0,"sales","medium"
"4690",0.74,0.76,3,224,2,0,0,0,"hr","low"
"4692",0.99,0.44,6,104,6,0,0,0,"technical","low"
"4695",0.76,0.72,3,242,5,1,0,0,"technical","medium"
"4696",0.41,0.7,4,177,3,0,0,0,"technical","medium"
"4698",0.62,0.49,4,175,3,0,0,0,"technical","medium"
"4700",0.58,0.61,3,205,2,0,0,0,"technical","medium"
"4702",0.28,0.76,3,150,2,0,0,0,"technical","medium"
"4704",0.85,0.86,3,231,3,0,0,0,"support","medium"
"4705",0.56,0.76,3,134,2,0,0,0,"support","high"
"4706",0.81,1,5,143,2,0,0,0,"support","low"
"4711",0.77,0.83,3,160,3,0,0,0,"support","low"
"4715",0.79,0.89,3,104,4,0,0,0,"technical","low"
"4723",0.5,0.82,3,133,2,1,0,0,"product_mng","low"
"4727",0.52,0.54,4,212,3,0,0,0,"IT","low"
"4730",0.6,0.9,4,178,3,0,0,1,"RandD","high"
"4732",0.93,0.51,3,196,2,0,0,1,"RandD","medium"
"4737",0.83,0.91,3,168,3,0,0,1,"technical","medium"
"4738",0.55,0.85,3,152,2,0,0,1,"management","medium"
"4745",0.61,0.68,4,244,3,0,0,0,"sales","low"
"4746",0.48,0.5,4,179,3,0,0,0,"sales","medium"
"4748",0.78,0.58,3,224,2,0,0,0,"sales","medium"
"4749",0.92,0.99,5,236,4,0,0,0,"sales","medium"
"4751",0.15,0.42,4,238,3,0,0,0,"sales","medium"
"4753",0.56,0.72,4,247,2,0,0,0,"sales","medium"
"4756",0.86,0.66,3,150,2,0,0,0,"sales","low"
"4757",0.88,0.95,3,137,3,0,0,0,"sales","low"
"4762",0.6,0.55,3,177,3,1,0,0,"accounting","low"
"4764",0.23,0.59,5,245,5,0,0,0,"hr","low"
"4768",0.87,0.52,3,152,4,0,0,0,"technical","low"
"4769",0.93,0.96,3,268,4,0,0,0,"technical","low"
"4770",0.13,0.95,5,149,2,0,0,0,"technical","low"
"4776",1,0.8,5,162,3,1,0,0,"technical","medium"
"4779",0.63,0.9,3,142,3,0,0,0,"support","medium"
"4780",0.59,0.62,3,203,4,0,0,0,"support","medium"
"4785",0.3,0.68,3,229,6,0,0,0,"support","medium"
"4789",0.93,0.74,2,169,4,0,0,0,"support","low"
"4790",0.97,0.91,4,257,3,1,0,0,"technical","low"
"4792",0.66,0.95,4,183,3,0,0,0,"technical","low"
"4798",0.91,0.63,4,226,3,1,0,0,"IT","low"
"4802",0.17,0.91,4,260,5,0,0,0,"product_mng","low"
